"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_e_b ', 'Regiao onde mora')","('P1_h ', 'Nivel de Ensino')","('P2_f ', 'Cargo Atual')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_q ', 'Atualmente qual a sua forma de trabalho?')","('P2_r ', 'Qual a forma de trabalho ideal para você?')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_a ', 'Remuneração/Salário')","('P2_o_b ', 'Benefícios')","('P2_o_c ', 'Propósito do trabalho e da empresa')","('P2_o_d ', 'Flexibilidade de trabalho remoto')","('P2_o_e ', 'Ambiente e clima de trabalho')","('P2_o_f ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_g ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_h ', 'Maturidade da empresa em termos de tecnologia e dados')"
fk4ytpz65h2oz71fk4ytpvhrybvck2rz,26.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
p6e1wwjc19xsq6p6ernbqrg8p78h2for,28.0,Masculino,Centro-oeste,Graduação/Bacharelado,,,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k7cg05i1i6fu9bzjlik7cg05iw0xq9fa,43.0,Masculino,Centro-oeste,Graduação/Bacharelado,,,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ap54nhpaxrtfantap54n545rmn2g714o,27.0,Masculino,Centro-oeste,Estudante de Graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
bjala4ipvuhta5z50jabja75ptc735h1,53.0,Masculino,Sudeste,Doutorado ou Phd,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo 100% remoto,Empregado (CLT),"Ambiente e clima de trabalho, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
9h0qj4hro1c3hu34l96r19h0qj4h506l,25.0,Masculino,Sudeste,Estudante de Graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
89br3jbvclfhtwaydl89br3jqooydfnj,37.0,Masculino,Nordeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Reputação que a empresa tem no mercado, Remuneração/Salário, Benefícios",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
797hisu5odzvdu7ymbzfzbq5797hisub,38.0,Masculino,Centro-oeste,Mestrado,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Servidor Público,"Remuneração/Salário, Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4bvcfib22n1vqfkq4bvcfxswiidnmepc,29.0,Masculino,Centro-oeste,Estudante de Graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3mp5l0rzzcib53m0tr8ulvij8ldcelok,46.0,Masculino,Sul,Mestrado,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados, Qualidade dos gestores e líderes",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
